feature,gini_importance,rank
COL5A2.1,0.13767647156338206,1
COL5A2,0.11955774360808412,2
COL5A2.2,0.11543705003540163,3
NDNF.2,0.04190352769774107,4
NDNF.1,0.037685896752423065,5
FAT1,0.03476603251571212,6
NDNF,0.03187978818158187,7
MYO16,0.03116462307345808,8
NPNT,0.02834512238382977,9
TOX3.1,0.023297276412586096,10
