fold,train_class_0,train_class_1,test_class_0,test_class_1,accuracy,precision,recall,f1
1,520,59,260,30,0.9793103448275862,1.0,0.8,0.8888888888888888
2,520,59,260,30,0.9862068965517241,0.9642857142857143,0.9,0.9310344827586207
3,520,60,260,29,0.9896193771626297,1.0,0.896551724137931,0.9454545454545454
